department,region,education,gender,recruitment_channel,no_of_trainings,age,KPIs_met >60%,awards_won?,avg_training_score
4,22,2,0,3,1,27,1,0,81
4,7,1,0,1,1,39,0,0,87
3,2,2,0,1,1,24,0,0,69
5,30,2,1,1,1,32,0,0,82
4,5,2,1,1,1,27,0,0,79
6,22,2,1,3,2,32,0,0,62
5,6,2,1,3,2,35,0,0,84
2,15,1,1,1,1,34,1,0,55
1,7,2,1,3,2,46,0,0,48
3,15,2,0,1,1,32,0,0,69
5,32,2,1,3,1,33,0,0,84
5,9,1,1,3,1,27,0,0,88
4,26,1,1,1,1,42,0,0,80
3,2,3,0,1,1,23,1,0,73
5,2,1,1,1,1,32,1,0,85
1,27,2,1,3,1,40,0,0,49
8,20,2,1,1,1,31,1,0,60
1,2,2,1,3,1,38,1,0,49
6,2,1,1,3,2,43,0,0,58
5,31,2,0,1,1,28,0,0,89
2,4,1,1,1,1,39,0,0,58
2,22,2,1,3,1,30,0,0,60
3,15,2,1,1,1,36,0,0,69
3,25,1,0,1,2,32,0,0,72
3,7,2,1,1,1,31,1,0,74
5,25,2,1,1,1,28,0,0,84
3,20,2,1,3,2,27,0,0,63
1,20,2,1,1,1,26,0,0,47
9,15,2,1,3,2,31,0,0,85
1,16,2,0,1,2,31,0,0,50
1,16,2,1,3,1,27,1,0,50
1,27,1,0,3,1,34,0,0,53
3,2,2,0,1,1,33,1,0,72
4,2,2,1,3,2,51,1,0,84
2,8,2,0,3,1,32,1,0,61
1,11,2,1,1,1,31,1,0,48
1,31,1,0,3,1,35,1,0,45
3,15,2,0,1,2,33,0,0,71
3,22,2,1,3,3,30,0,0,68
1,28,2,1,1,1,32,0,0,50
9,7,1,1,3,1,35,0,0,84
1,22,2,1,1,1,43,0,0,49
1,7,2,1,3,1,29,1,0,45
5,7,1,1,3,1,39,1,0,87
9,2,1,1,3,1,33,1,0,83
2,2,2,0,3,1,48,0,0,60
2,29,2,0,3,1,31,0,0,53
1,2,2,0,3,1,37,0,0,51
2,16,2,1,1,1,42,0,0,64
3,25,2,1,3,1,30,0,0,66
5,2,2,1,1,2,26,0,0,86
4,29,2,1,3,1,27,1,0,81
1,2,1,0,3,1,51,0,0,46
1,5,2,0,3,1,30,0,0,50
1,16,2,0,3,1,25,0,0,45
4,2,1,0,3,1,59,1,0,82
1,29,2,0,1,1,30,0,0,46
3,31,2,1,1,4,29,1,0,72
1,29,2,1,1,1,30,0,0,52
1,23,2,1,3,1,32,0,0,49
9,22,1,1,1,1,30,0,0,83
2,15,2,1,3,1,40,0,0,64
3,20,1,0,1,1,32,0,0,66
3,13,2,1,3,2,29,0,0,69
1,7,2,0,1,1,29,0,0,50
1,13,2,0,3,1,40,0,0,53
7,13,2,1,3,1,37,0,0,50
6,22,1,1,3,1,39,0,0,57
4,22,2,1,3,1,25,0,0,76
1,15,2,1,1,1,42,0,0,49
5,22,2,1,3,3,28,0,0,84
4,2,2,1,2,1,33,0,0,78
3,16,2,1,3,1,37,0,0,75
3,25,2,1,3,2,27,0,0,68
9,22,1,1,1,1,32,0,0,88
1,22,2,0,3,2,27,0,0,56
1,25,1,1,1,1,38,0,0,52
7,13,2,1,3,1,29,0,0,51
2,20,1,0,3,1,43,0,0,59
1,28,2,1,3,3,29,0,0,52
4,8,1,1,1,1,36,1,0,76
2,2,1,1,3,1,41,0,0,56
1,25,1,1,1,1,36,1,0,45
3,2,2,0,1,1,59,0,0,67
2,26,2,1,3,1,36,0,0,58
3,7,1,1,1,2,44,0,0,65
4,26,2,1,1,1,32,0,0,80
4,22,2,1,3,2,36,0,0,83
4,15,2,1,1,1,35,1,0,81
5,22,1,1,1,1,26,1,0,88
2,29,2,0,3,1,32,0,0,58
1,26,2,1,1,2,28,0,0,48
7,2,2,0,3,1,42,0,0,52
4,7,2,1,3,1,29,0,0,85
4,17,2,0,3,1,26,1,0,75
5,7,2,1,3,1,29,0,0,81
5,25,2,1,3,1,31,0,0,84
7,22,1,1,3,1,37,0,0,46
5,22,1,1,1,1,30,0,0,82
1,1,1,1,3,1,33,0,0,43
2,31,2,0,1,1,28,1,0,61
2,15,2,1,1,1,48,0,0,59
2,2,2,0,1,1,37,0,0,57
1,7,1,0,1,1,39,1,0,51
2,1,2,1,3,1,29,0,0,57
4,31,1,1,1,3,38,0,0,76
1,25,2,0,3,4,29,0,0,54
1,26,2,1,1,2,31,0,0,48
4,28,2,0,1,1,26,1,0,81
4,13,2,0,1,1,30,0,0,82
2,2,1,0,1,2,32,0,0,58
5,2,2,1,1,1,41,1,0,82
2,19,2,1,3,1,47,1,0,55
6,2,2,1,3,1,30,0,0,60
1,31,1,0,1,1,34,0,0,50
1,19,2,1,3,2,34,0,0,48
3,2,2,0,1,1,36,1,0,69
1,6,2,1,1,1,35,1,1,53
1,30,1,1,1,1,44,0,0,47
1,25,1,1,1,2,33,0,0,54
1,29,2,1,3,1,30,0,0,48
1,2,2,1,2,1,42,1,0,50
1,16,2,1,3,1,34,0,0,49
5,15,2,1,3,1,34,0,0,87
2,22,2,1,3,1,47,0,0,60
3,5,2,0,1,1,29,0,0,68
3,26,2,1,3,1,39,1,0,74
2,15,1,1,1,1,51,1,0,58
4,27,1,1,3,1,34,1,0,79
3,2,2,0,3,1,26,0,0,71
1,21,2,1,1,1,26,0,0,53
4,2,2,0,3,1,38,1,0,76
2,2,2,1,1,1,33,1,0,53
2,11,2,1,3,1,43,0,0,61
1,15,2,1,3,1,26,0,0,53
2,2,1,1,1,1,42,0,0,58
5,27,2,1,3,1,28,1,0,87
4,22,2,1,3,2,30,0,0,83
1,24,2,1,1,2,28,0,0,54
1,19,2,1,3,1,37,0,0,43
3,24,2,1,3,1,33,0,0,68
2,12,2,0,1,1,25,1,0,59
2,7,2,0,1,1,44,0,0,59
4,7,1,1,1,1,40,0,0,77
5,13,2,1,3,1,39,1,0,83
1,7,1,1,1,1,45,0,0,47
2,2,2,1,3,1,27,1,0,62
3,9,2,1,3,1,28,0,0,67
3,2,1,0,3,3,37,1,0,69
1,2,1,1,3,2,35,0,0,56
4,20,2,1,3,1,28,0,0,82
7,2,1,1,1,2,58,0,0,48
1,14,2,1,1,2,27,0,0,48
1,13,1,1,3,1,48,0,0,50
1,33,1,1,1,1,36,0,0,49
6,31,2,1,3,1,36,0,0,61
1,2,2,1,3,1,60,0,0,52
5,27,2,1,3,2,40,0,0,81
5,13,2,1,1,1,27,0,0,86
1,16,2,0,3,1,34,0,0,51
1,31,2,1,1,2,38,0,0,53
2,26,2,1,3,1,32,0,0,61
5,22,2,1,3,1,27,1,0,83
3,15,1,0,1,1,47,0,0,71
4,7,3,1,1,1,23,0,0,77
3,22,1,1,1,1,36,0,0,71
3,29,2,1,1,2,29,1,0,68
7,5,1,1,1,1,35,0,0,49
1,26,2,1,3,1,47,0,0,49
4,2,1,0,3,1,38,0,0,79
3,26,2,1,3,1,31,0,0,65
1,20,2,1,1,1,41,0,0,53
2,24,2,1,1,1,28,0,0,62
8,7,2,1,3,1,26,1,1,60
3,2,2,0,3,1,46,1,0,71
1,31,2,0,3,1,31,0,0,54
5,2,2,1,1,2,29,0,0,81
4,20,1,0,3,1,36,1,0,77
1,3,1,1,1,1,34,0,0,52
1,6,2,1,3,1,34,0,0,53
4,22,2,1,3,1,31,1,0,83
2,15,1,1,3,1,40,1,0,57
2,16,2,0,1,1,29,0,0,60
3,14,2,1,1,1,30,0,0,68
9,2,2,1,3,2,25,0,0,84
3,31,1,0,3,1,36,0,0,71
4,6,2,1,2,1,24,0,0,81
5,22,1,1,1,2,35,0,0,93
1,22,1,1,3,1,34,0,0,47
1,2,2,1,3,2,43,1,0,53
2,2,2,1,1,2,36,0,0,62
2,26,2,0,3,1,31,0,0,64
2,29,2,1,3,1,34,0,0,57
4,13,2,0,3,2,30,1,0,74
1,29,2,1,3,1,27,0,0,51
2,16,2,0,3,1,35,1,0,57
2,13,1,0,3,1,38,1,0,60
2,27,2,1,3,2,26,0,0,61
1,15,1,1,3,1,45,0,0,47
1,5,2,0,1,1,32,1,0,46
1,4,1,1,1,1,47,0,0,46
1,7,2,1,3,1,35,0,0,46
4,30,2,0,3,1,31,0,0,81
4,31,2,1,1,2,25,0,0,80
1,27,2,1,3,1,45,1,0,47
2,2,1,1,3,2,60,0,0,62
2,7,2,1,1,1,39,0,0,64
7,2,1,1,1,1,34,0,0,55
4,2,2,1,1,2,32,1,0,80
6,15,2,1,3,1,31,0,0,60
1,13,2,1,3,1,26,0,0,51
7,8,2,1,3,2,29,0,0,49
5,22,2,1,3,2,27,0,0,80
1,2,2,0,1,1,34,0,0,49
2,8,2,0,1,1,28,1,0,60
6,32,2,0,3,1,27,0,0,56
1,29,2,0,3,1,31,1,0,47
1,2,2,1,3,3,32,0,0,50
1,5,2,0,1,1,32,0,0,49
2,32,2,1,3,1,24,0,0,60
5,17,2,1,3,1,27,0,0,82
1,2,2,1,3,1,41,0,0,52
3,22,1,1,3,1,38,0,0,69
2,1,1,1,3,1,39,1,0,58
1,26,2,1,1,1,25,0,0,51
4,2,2,0,1,1,43,0,0,82
1,20,2,1,1,1,26,0,0,53
3,21,2,1,3,1,32,0,0,70
3,17,1,1,1,1,33,0,0,69
3,24,2,1,3,1,31,0,0,70
2,2,1,0,1,1,58,0,0,62
1,2,2,1,2,1,33,0,0,48
9,22,2,0,1,1,28,1,0,83
4,2,3,1,3,3,22,0,0,75
1,22,2,1,3,6,26,0,0,46
4,13,2,1,3,1,45,0,0,80
1,22,1,1,1,1,35,0,0,49
7,23,2,1,3,2,33,0,0,45
6,23,2,1,3,1,31,1,0,64
2,22,2,1,1,3,23,1,0,57
3,2,2,0,1,2,35,0,0,68
9,2,2,1,3,2,32,0,0,89
2,14,1,0,3,1,35,1,0,59
1,23,2,1,3,1,26,0,0,47
1,7,1,0,3,1,30,0,0,50
1,15,1,1,3,1,40,0,0,45
1,9,2,1,1,1,28,0,0,49
7,22,2,1,3,1,26,0,0,49
1,2,2,0,3,2,42,0,0,47
1,29,1,1,3,1,33,0,0,48
1,7,2,0,3,1,26,1,0,50
2,22,2,0,3,1,24,0,0,65
2,22,1,1,3,1,46,1,0,64
1,20,1,1,1,1,44,0,0,50
1,22,2,1,1,1,32,0,0,47
4,33,2,1,3,1,51,0,0,80
2,7,2,1,1,2,33,0,0,59
5,22,2,1,1,3,31,1,0,85
7,12,2,1,3,1,29,1,0,46
2,22,1,0,1,1,47,1,0,59
2,22,1,1,1,1,56,0,0,56
4,24,1,1,1,1,41,0,0,80
2,15,1,0,3,1,41,1,0,60
2,2,2,1,3,1,35,1,0,58
5,1,1,1,3,2,33,0,0,85
5,17,2,1,3,1,32,0,0,86
4,24,2,0,3,1,24,0,0,84
7,22,1,1,1,2,39,0,0,54
3,7,1,1,1,1,36,1,0,67
4,2,1,1,3,1,54,0,0,77
3,2,2,0,3,1,33,1,0,71
4,2,2,0,1,1,30,1,0,80
5,26,2,1,3,1,37,1,0,89
3,2,2,1,1,1,37,0,0,69
2,15,2,0,1,1,36,0,0,59
5,31,2,1,3,1,43,1,0,85
1,14,2,1,1,1,31,0,0,50
5,2,2,1,3,1,35,0,0,86
1,29,2,1,1,3,31,1,0,50
2,29,2,1,1,1,27,0,0,60
1,22,2,1,2,1,30,0,0,46
5,2,2,1,3,4,40,1,0,88
2,16,2,0,3,2,30,0,0,63
4,4,2,1,3,1,27,0,0,79
2,7,1,0,3,1,47,0,0,58
2,8,1,0,1,1,38,0,0,57
2,13,2,1,1,2,38,0,0,63
4,7,2,1,1,2,43,0,0,81
1,2,1,1,3,2,36,1,0,48
2,22,2,0,3,1,30,1,0,59
4,16,2,1,3,2,38,1,0,81
4,16,1,0,1,1,36,0,0,82
5,11,2,1,1,1,33,1,0,79
1,29,2,0,3,1,30,0,0,53
4,16,2,1,3,1,54,1,0,79
1,17,2,1,3,1,30,0,0,50
3,2,2,1,3,6,28,0,0,71
6,22,2,0,3,2,27,1,0,65
3,2,2,0,3,1,33,0,0,75
2,2,2,0,2,1,31,1,0,62
1,2,2,0,1,1,54,0,0,47
1,3,2,1,1,1,27,0,0,50
9,22,2,1,1,1,31,1,0,84
6,26,2,0,1,1,28,1,0,64
1,7,1,1,3,2,42,0,0,46
2,12,2,0,3,1,25,0,0,57
5,15,2,1,1,1,40,0,0,84
6,28,2,1,1,2,29,0,0,59
3,2,1,0,3,1,51,0,0,69
1,23,1,1,1,2,35,0,0,51
2,2,1,0,3,1,45,1,0,60
3,4,1,1,3,1,37,1,0,70
3,22,2,0,1,1,28,0,0,69
5,7,2,1,3,1,31,0,0,86
8,7,2,1,3,1,55,0,0,57
1,27,2,1,1,1,32,0,0,51
1,18,2,1,3,1,30,0,0,49
1,22,2,0,1,1,27,0,0,46
1,16,2,1,1,1,43,0,0,51
9,22,2,1,1,1,26,1,0,85
2,10,2,1,3,1,35,0,0,59
2,15,2,0,3,1,36,0,0,61
1,7,1,0,1,4,34,0,0,52
1,25,2,0,3,1,32,0,0,51
3,13,2,1,1,2,34,0,0,66
3,29,2,1,3,1,35,1,0,71
9,8,2,1,3,1,34,0,0,87
6,2,2,1,1,1,27,0,0,58
4,6,2,1,1,1,33,1,0,83
4,27,2,1,1,1,30,0,0,79
7,17,2,1,3,1,28,0,0,52
5,2,2,1,1,2,27,0,0,87
1,2,2,0,1,1,41,0,0,51
5,24,2,1,3,2,35,0,0,80
2,19,2,0,1,1,36,1,0,58
2,14,2,1,1,1,43,1,0,53
3,2,2,1,1,2,31,0,0,74
5,34,2,1,3,1,27,0,0,88
1,6,2,0,3,1,30,0,0,41
2,7,2,1,1,1,32,0,0,56
5,15,2,1,1,1,28,1,0,86
1,22,1,1,1,3,39,1,0,55
6,22,1,1,3,2,31,0,0,60
2,32,1,1,1,1,42,0,0,59
1,5,2,1,1,1,29,0,0,50
1,27,1,1,1,1,45,0,0,51
1,11,2,1,3,1,32,1,1,53
1,27,2,1,1,1,30,1,0,47
4,31,2,1,1,1,28,0,0,77
1,20,1,1,1,1,44,0,0,53
2,12,2,1,3,1,29,1,0,61
1,27,2,1,3,2,30,0,0,52
8,2,2,0,1,1,32,0,0,53
7,13,2,0,1,1,37,1,0,47
7,22,2,1,1,1,33,1,0,49
6,2,1,0,3,1,50,0,0,63
2,2,1,0,3,1,39,0,0,57
1,25,2,1,1,1,31,1,0,52
1,7,2,1,3,3,25,1,0,47
1,7,2,0,3,1,27,1,0,47
2,26,1,0,3,1,41,0,0,52
1,31,2,0,1,1,31,0,0,46
8,22,2,1,3,1,31,0,0,61
6,4,1,1,3,1,41,0,0,57
3,12,2,0,1,1,31,0,0,71
4,7,2,1,3,1,28,1,0,77
3,10,2,1,3,3,31,0,0,69
3,32,2,1,1,1,27,0,0,68
4,26,1,1,1,2,42,0,0,80
1,31,2,1,3,2,26,0,0,52
1,7,2,1,1,1,36,1,0,53
3,2,2,1,1,1,31,0,1,71
1,22,1,1,3,1,32,1,0,52
1,11,2,1,1,1,26,1,0,47
2,27,1,0,1,1,36,0,0,63
4,22,2,1,3,1,34,0,0,76
2,22,2,1,1,1,26,1,0,61
4,33,2,1,3,2,53,0,0,82
1,31,2,1,3,1,32,0,0,47
3,17,2,1,1,1,40,0,0,69
4,2,1,0,3,1,20,0,0,80
2,4,2,1,3,1,31,1,0,63
6,31,1,1,3,2,34,0,0,61
4,2,2,0,1,2,51,0,0,81
5,26,2,1,3,1,32,1,0,85
2,8,2,1,1,1,25,1,0,61
1,4,1,1,1,1,32,0,0,49
3,26,2,1,3,2,34,1,0,66
2,1,2,0,3,1,35,0,0,60
2,7,2,1,3,2,33,0,0,56
1,31,2,1,3,1,33,0,0,44
2,16,2,0,1,1,45,0,0,61
1,29,2,1,1,2,31,0,0,51
6,22,3,1,1,2,23,1,1,57
1,17,2,1,1,1,32,1,0,52
1,32,2,1,3,1,27,1,0,51
1,13,2,1,1,1,40,1,0,54
3,11,2,0,1,1,34,0,0,71
3,14,2,1,1,1,29,0,0,72
3,2,3,0,1,1,22,0,0,72
4,5,1,0,3,1,37,0,0,81
4,2,1,1,3,1,36,0,0,81
1,4,1,1,1,1,31,0,0,50
2,17,2,0,3,1,36,1,0,59
2,14,2,1,3,1,36,0,0,55
2,7,1,0,1,1,38,0,0,62
3,29,2,1,3,1,28,0,0,72
6,20,2,1,3,1,30,0,0,58
1,29,1,1,1,1,35,0,0,49
1,2,2,1,1,1,24,1,0,51
5,27,2,1,3,2,27,0,0,84
1,2,1,0,1,1,40,0,0,49
7,2,3,1,1,1,24,1,0,52
1,9,2,1,3,2,25,0,0,49
1,2,1,1,3,1,36,0,0,49
3,2,2,0,1,2,26,1,0,70
4,23,2,1,3,1,34,1,0,78
3,1,2,0,3,1,28,0,0,71
1,2,2,0,1,1,46,0,0,54
4,7,2,0,1,2,36,0,0,86
4,2,3,1,3,1,24,0,1,77
1,26,2,1,3,1,37,0,0,47
6,2,2,0,3,1,29,1,0,60
2,29,2,1,1,1,29,0,0,65
7,2,2,1,1,1,51,0,0,50
2,30,2,1,3,1,33,0,0,58
2,6,2,1,1,1,30,0,0,61
2,7,2,1,3,1,34,0,0,59
1,15,2,1,3,1,22,0,0,47
5,19,2,1,3,1,37,0,0,85
1,11,2,1,3,1,29,0,0,51
8,2,1,1,3,1,60,0,0,58
2,21,2,0,1,1,39,0,0,63
2,11,2,1,1,1,29,0,0,59
9,29,2,1,3,1,33,0,0,86
2,7,1,0,3,1,56,0,0,63
7,2,1,1,1,1,53,0,0,48
1,2,2,1,1,1,49,0,0,48
4,33,1,0,3,1,34,0,0,75
1,2,1,1,3,1,51,1,0,50
4,22,2,1,3,2,28,0,0,81
2,34,2,1,3,1,29,0,0,59
1,29,1,1,3,1,31,0,0,53
1,2,2,1,1,1,33,1,0,46
3,27,2,1,1,1,35,1,0,72
1,22,2,1,3,1,33,1,0,49
5,22,2,1,3,1,39,0,0,84
2,11,1,0,3,1,42,1,0,58
1,20,2,1,3,1,31,1,0,49
1,28,1,1,3,1,36,1,0,48
2,7,1,0,3,1,35,0,0,57
3,22,2,1,3,2,34,1,0,69
3,2,1,0,1,1,42,1,0,71
2,2,1,1,3,1,43,1,0,61
4,27,2,1,1,2,30,0,0,78
3,16,2,0,3,1,30,1,0,67
4,2,2,0,3,1,35,0,0,81
4,7,2,1,3,2,31,0,0,82
1,5,2,1,1,1,32,0,0,46
2,2,2,1,2,1,34,1,0,64
2,15,1,0,1,1,35,1,0,62
8,7,2,1,1,1,41,1,0,56
3,23,1,0,3,1,39,0,0,70
6,2,2,1,2,1,29,1,0,58
6,2,1,1,3,1,55,0,0,57
4,13,2,0,1,1,26,1,0,83
3,15,2,1,1,1,28,0,0,71
2,22,2,0,1,1,33,0,0,59
5,26,2,1,3,3,29,1,0,78
1,26,2,1,3,1,26,0,0,52
1,7,1,1,3,2,34,0,0,50
2,2,2,1,3,1,28,0,0,63
2,21,2,0,3,1,40,1,0,61
1,29,1,1,1,1,34,1,0,49
2,31,2,1,3,1,37,1,0,56
3,7,1,1,3,1,37,0,0,70
4,23,1,1,3,1,36,0,0,80
7,2,2,0,3,1,32,0,0,49
3,7,1,1,1,1,42,0,0,72
3,17,1,0,3,1,35,0,0,72
2,2,2,1,1,1,53,0,0,55
2,20,1,1,1,1,37,0,0,60
4,22,2,1,3,1,36,0,0,78
1,2,2,0,1,1,54,0,0,51
1,2,2,1,1,1,57,1,0,47
1,2,1,1,3,1,47,0,0,53
1,13,2,0,1,1,40,0,0,45
1,11,2,0,3,1,28,1,0,50
5,31,2,0,1,1,35,0,0,88
1,7,2,1,3,1,53,0,0,49
5,2,2,1,1,1,47,0,0,86
1,27,1,1,1,1,40,0,0,49
4,7,1,1,3,1,39,0,0,79
4,22,2,1,2,2,26,1,0,82
5,16,2,1,3,2,33,1,0,86
4,29,2,0,1,1,27,0,0,81
5,22,2,1,3,1,32,0,0,87
1,1,1,1,3,1,35,0,0,52
1,7,2,1,1,2,23,0,0,45
1,15,2,1,3,1,42,1,0,51
3,15,2,1,3,1,32,0,0,71
1,7,1,1,3,1,47,0,0,45
8,2,2,1,1,1,40,0,0,64
3,22,2,0,3,1,29,0,0,71
1,7,1,0,3,2,42,0,0,54
5,19,2,1,1,1,32,0,0,85
2,11,2,1,1,1,26,0,0,64
6,22,1,1,3,2,40,1,0,61
2,22,2,0,3,1,34,1,0,58
1,12,2,1,3,1,23,0,0,51
4,13,1,1,3,2,33,1,0,83
1,15,2,0,1,1,31,0,0,57
1,2,1,1,3,1,33,0,0,56
2,15,2,0,1,1,30,0,0,61
1,2,1,1,1,1,47,0,0,51
5,23,1,1,3,1,40,1,0,84
1,15,1,1,3,1,43,0,0,46
2,22,1,0,1,1,42,1,0,58
2,15,2,1,3,2,30,1,0,63
5,22,2,1,3,2,33,1,0,84
4,13,2,1,3,1,33,1,0,79
3,29,2,0,1,1,29,0,0,73
5,28,2,1,3,1,38,1,0,82
2,2,2,1,2,1,34,0,0,57
1,2,1,0,1,1,57,0,0,46
9,19,2,1,3,2,36,0,0,85
4,13,1,0,3,1,41,1,0,81
2,27,1,0,3,1,46,0,0,62
1,15,2,1,3,1,37,0,0,49
7,7,2,1,3,1,26,0,0,51
5,26,2,1,1,1,31,0,0,86
5,22,2,0,1,1,27,1,0,87
7,7,1,0,3,1,43,0,0,48
2,32,2,0,1,1,34,0,0,62
5,22,2,0,3,2,28,0,0,85
8,2,2,1,3,3,43,1,0,61
6,2,1,0,3,1,55,1,0,60
3,7,1,1,3,1,52,0,0,71
1,4,2,1,1,1,49,1,0,49
2,22,1,0,3,1,49,1,0,63
2,26,1,1,3,1,38,0,0,64
1,31,2,0,3,1,37,0,0,48
5,26,2,0,1,1,28,0,0,80
2,4,1,1,1,1,33,1,0,61
1,31,2,1,3,1,27,0,0,47
5,31,2,1,1,1,33,0,0,82
2,13,2,0,3,1,41,0,0,55
7,26,2,1,1,1,36,1,0,50
4,24,2,1,3,1,33,0,0,76
5,32,2,1,1,2,28,0,0,88
4,22,2,1,1,2,25,1,0,79
2,2,3,1,1,1,24,0,0,56
1,20,2,1,3,1,27,0,0,52
5,22,1,1,1,1,32,0,0,85
3,31,2,0,1,1,34,0,0,75
1,2,1,0,3,1,39,1,0,46
8,13,2,1,3,1,27,0,0,57
1,27,2,0,3,1,36,0,0,44
1,24,2,1,3,2,30,0,0,54
5,7,2,1,1,1,30,1,0,86
1,7,1,1,1,1,28,0,0,53
1,2,2,1,3,2,23,0,0,51
1,10,2,1,3,1,29,0,0,50
1,9,1,1,3,1,29,1,0,50
1,2,2,1,3,1,37,0,0,48
3,2,2,1,3,1,29,1,0,72
7,2,2,0,3,1,29,1,0,47
1,4,2,1,1,1,40,0,0,48
1,16,2,1,3,1,30,1,0,52
1,24,2,1,3,1,30,1,0,47
4,2,1,0,1,1,53,0,0,78
5,22,2,1,1,1,34,0,0,81
5,22,2,1,3,1,28,0,0,84
4,13,2,0,3,1,30,1,0,81
4,7,2,0,1,2,32,0,0,83
1,6,2,1,1,2,30,0,0,53
1,9,2,1,1,1,26,0,0,48
4,7,1,1,3,1,48,0,0,83
5,13,2,1,3,1,31,1,0,83
5,2,1,1,1,1,37,0,0,83
5,2,2,1,3,1,29,0,0,85
1,22,2,1,3,1,22,0,0,48
3,2,2,0,1,1,33,0,0,69
1,2,2,0,1,2,30,0,0,48
3,6,2,0,1,1,29,0,0,69
2,26,2,1,3,1,36,0,0,54
3,2,1,1,3,1,56,0,0,70
2,28,1,0,3,1,33,0,0,60
1,7,2,1,1,1,28,0,0,50
1,21,2,0,3,1,30,0,0,52
2,26,2,1,3,1,27,0,0,59
3,2,1,1,3,2,50,0,0,73
3,15,2,1,3,1,33,0,0,67
1,21,2,1,1,2,26,0,0,52
1,22,2,1,1,1,38,0,0,51
1,2,1,1,3,3,24,0,0,48
5,22,2,1,3,1,28,0,0,81
2,2,1,0,1,1,47,0,0,58
1,28,2,1,1,1,26,0,0,50
1,7,1,1,1,1,20,0,0,48
4,27,2,1,1,1,30,1,0,79
3,2,2,1,1,2,35,0,0,67
5,2,2,1,1,3,31,1,0,88
1,16,2,1,3,1,51,0,0,45
2,13,2,1,3,1,38,0,0,55
1,2,1,1,1,3,55,0,0,53
1,32,2,1,1,1,32,1,0,49
1,7,2,1,3,1,30,0,0,50
1,2,2,1,1,2,44,0,0,47
3,2,2,0,1,2,26,1,0,71
6,2,1,1,1,2,32,1,0,54
1,26,2,1,3,6,31,0,0,45
2,8,2,0,3,1,28,1,0,60
2,19,1,1,1,1,45,0,0,54
3,30,2,1,1,1,33,1,0,70
2,2,2,1,1,1,48,0,0,58
2,29,2,1,3,1,25,0,0,61
1,27,2,0,3,1,32,0,0,51
2,31,1,0,3,1,48,1,0,58
2,1,2,1,3,1,28,0,0,59
5,31,2,1,3,2,31,1,0,83
2,11,2,1,3,1,31,1,0,60
5,7,2,1,3,1,34,0,0,83
4,23,2,0,3,1,35,0,0,81
5,20,2,1,3,2,29,0,0,89
5,2,2,1,1,1,46,1,0,82
1,2,1,0,1,1,59,0,0,49
1,7,1,0,1,3,33,0,0,53
6,22,2,1,1,4,24,0,0,60
5,11,2,1,1,1,30,0,0,86
5,22,2,0,1,2,27,1,0,87
2,9,2,1,1,1,30,0,0,54
1,2,2,1,1,2,35,0,0,50
2,8,2,1,1,1,27,1,0,58
1,26,2,1,3,1,38,0,0,48
1,16,2,1,3,1,41,0,0,47
2,22,2,1,3,1,34,0,0,64
3,2,2,1,3,2,57,0,0,70
8,2,2,1,1,1,32,0,0,57
5,23,1,1,3,1,42,0,0,84
4,1,1,1,1,1,37,0,0,81
3,2,2,1,1,1,37,0,0,71
2,22,2,0,3,1,42,0,0,61
1,26,2,1,3,1,54,0,0,53
4,24,2,1,3,1,34,0,0,77
6,32,2,1,3,1,29,0,0,56
1,13,1,0,3,1,34,1,0,51
7,2,1,1,3,1,58,0,0,49
5,9,1,1,1,1,30,0,0,85
5,2,2,0,1,1,28,0,0,86
3,2,1,1,3,2,29,0,0,71
2,15,1,0,1,1,31,0,0,57
4,2,2,0,3,1,28,1,0,80
6,15,1,1,3,1,34,1,0,60
3,2,2,1,3,2,44,0,0,71
1,30,2,1,3,2,40,0,0,49
7,7,1,1,1,1,40,0,0,48
1,6,2,1,1,1,30,0,0,45
4,31,2,0,3,1,30,0,0,79
1,2,2,0,3,2,55,1,0,52
2,2,2,1,1,1,37,0,0,61
6,7,1,0,3,1,33,1,0,60
4,16,1,0,1,1,32,0,0,77
1,22,2,1,3,1,35,0,0,48
4,17,2,0,3,1,33,0,0,78
4,1,1,1,1,1,31,1,0,76
1,2,2,0,3,1,31,0,0,48
4,2,3,1,2,1,24,0,0,82
7,22,2,0,1,1,25,0,0,55
4,27,2,1,3,1,23,0,0,79
1,2,2,0,1,1,54,0,0,49
1,4,1,1,3,1,32,0,0,54
2,22,2,0,3,1,25,1,0,59
6,2,2,1,3,3,35,1,0,61
4,15,2,0,3,3,33,1,0,78
2,7,1,1,3,1,44,0,0,61
7,2,2,0,2,1,27,0,0,51
1,22,2,1,1,1,36,0,0,53
2,22,2,0,3,2,32,1,0,63
5,26,2,1,1,1,28,1,0,84
5,2,2,1,1,1,41,0,0,86
1,25,2,1,3,1,29,0,0,53
1,2,2,0,1,1,44,0,0,50
7,26,2,1,1,1,30,0,0,48
5,25,2,1,1,1,30,1,0,81
2,22,2,1,3,1,48,1,0,63
1,31,1,1,1,1,35,0,0,48
5,2,1,1,1,2,40,0,0,84
1,15,2,0,1,1,29,0,0,52
7,2,1,0,3,1,51,0,0,55
2,15,2,1,1,1,33,0,0,61
1,2,2,1,3,1,29,1,0,54
3,22,2,1,1,1,28,1,0,63
7,2,1,0,1,1,58,0,0,47
2,14,2,1,3,1,28,0,0,60
1,4,1,1,1,1,34,0,0,51
2,2,2,0,3,1,41,0,0,61
